SampleID	LinkerSequence	Nest	Chick	Sample_Type	Hours	Anti_Post	Type_Hours	Dry_Weight	Description	Evenness	faith_pd	shannon
ST179	N	26	1	Large_Intestine_Tissue	72_hrs	Post_Mortem	Large_Intestine_Tissue72_hrs	0.184	ST179	0.771967839	1.158370821	2.67056995
ST180	N	3	1	Ceca	0_hrs	Anti_Mortem	Ceca0_hrs	0.028	ST180	0.834919911	2.969062445	3.608463822
ST181	N	5	1	Ceca	0_hrs	Anti_Mortem	Ceca0_hrs	0.023	ST181	0.726125997	2.68796761	2.41213835
ST182	N	6	1	Ceca	0_hrs	Anti_Mortem	Ceca0_hrs	0.027	ST182	0.560694011	6.621140716	2.074814386
ST183	N	7	1	Ceca	0_hrs	Anti_Mortem	Ceca0_hrs	0.024	ST183	0.791536969	7.99166235	3.300649797
ST185	N	11	1	Ceca	0_hrs	Anti_Mortem	Ceca0_hrs	0.018	ST185	0.854854658	4.521855916	3.81216589
ST187	N	21	1	Ceca	24_hrs	Post_Mortem	Ceca24_hrs	0.022	ST187	0.503191959	2.458215281	1.412638424
ST188	N	20	1	Ceca	24_hrs	Post_Mortem	Ceca24_hrs	0.017	ST188	0.632649367	4.240565383	2.471691863
ST189	N	28	1	Ceca	24_hrs	Post_Mortem	Ceca24_hrs	0.012	ST189	0.669580935	4.460935829	2.008742804
ST190	N	22	2	Ceca	48_hrs	Post_Mortem	Ceca48_hrs	0.012	ST190	0.368428497	5.698160463	1.034309555
ST191	N	21	2	Ceca	48_hrs	Post_Mortem	Ceca48_hrs	0.021	ST191	0.617409529	2.50302077	1.73328768
ST192	N	20	2	Ceca	48_hrs	Post_Mortem	Ceca48_hrs	0.022	ST192	0.660638698	3.82659214	2.194594252
ST193	N	27	1	Ceca	48_hrs	Post_Mortem	Ceca48_hrs	0.015	ST193	0.785266884	4.448322083	2.905832766
ST195	N	21	3	Ceca	72_hrs	Post_Mortem	Ceca72_hrs	0.014	ST195	0.275828282	2.555617476	0.640453436
ST196	N	15	1	Ceca	72_hrs	Post_Mortem	Ceca72_hrs	0.011	ST196	0.642075957	2.557306666	2.301818229
ST197	N	26	1	Ceca	72_hrs	Post_Mortem	Ceca72_hrs	0.011	ST197	0.464090484	2.471763675	1.302866704
ST81	N	28	1	Cloacal_Swab	0_hrs	Anti_Mortem	Cloacal_Swab0_hrs	NA	ST81	0.852798719	6.600951086	3.960274608
ST82	N	22	1	Cloacal_Swab	24_hrs	Post_Mortem	Cloacal_Swab24_hrs	NA	ST82	0.706591474	1.312676525	2.23984198
ST83	N	21	1	Cloacal_Swab	24_hrs	Post_Mortem	Cloacal_Swab24_hrs	NA	ST83	0.748546203	1.352965143	2.245638609
ST84	N	20	1	Cloacal_Swab	24_hrs	Post_Mortem	Cloacal_Swab24_hrs	NA	ST84	0.714033479	1.184463925	2.142100436
ST85	N	28	1	Cloacal_Swab	24_hrs	Post_Mortem	Cloacal_Swab24_hrs	NA	ST85	0.645945629	1.224729539	2.047599199
ST88	N	20	2	Cloacal_Swab	0_hrs	Anti_Mortem	Cloacal_Swab0_hrs	NA	ST88	0.949626916	6.711020422	5.780818565
ST90	N	22	2	Cloacal_Swab	48_hrs	Post_Mortem	Cloacal_Swab48_hrs	NA	ST90	0.67306821	1.08783943	1.562815988
ST91	N	21	2	Cloacal_Swab	48_hrs	Post_Mortem	Cloacal_Swab48_hrs	NA	ST91	0.813172031	1.139147671	2.439516093
ST99	N	21	3	Cloacal_Swab	72_hrs	Post_Mortem	Cloacal_Swab72_hrs	NA	ST99	0.809128314	1.139781001	3.080638669
